eps, eps_squared
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9700000000e+00, 3.8809000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9700000000e+00, 3.8809000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9500000000e+00, 3.8025000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9600000000e+00, 3.8416000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9600000000e+00, 3.8416000000e+00
-1.9400000000e+00, 3.7636000000e+00
-1.9600000000e+00, 3.8416000000e+00
-1.9600000000e+00, 3.8416000000e+00
-1.9600000000e+00, 3.8416000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9700000000e+00, 3.8809000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9500000000e+00, 3.8025000000e+00
-1.9700000000e+00, 3.8809000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9400000000e+00, 3.7636000000e+00
-1.9400000000e+00, 3.7636000000e+00
-1.9700000000e+00, 3.8809000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-1.9800000000e+00, 3.9204000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
-2.0000000000e+00, 4.0000000000e+00
